top,bottom,cue,prompt
462_MEDHIGH.jpg,995_LOW.jpg,3,0
134_MEDHIGH.jpg,973_LOW.jpg,2,1
354_MEDHIGH.jpg,1372_LOW.jpg,1,0
606_MEDHIGH.jpg,460_LOW.jpg,0,1
909_MEDHIGH.jpg,1140_LOW.jpg,3,0
971_MEDHIGH.jpg,358_LOW.jpg,2,1
411_MEDHIGH.jpg,1241_LOW.jpg,1,0
291_MEDHIGH.jpg,500_LOW.jpg,0,1
232_MEDHIGH.jpg,993_LOW.jpg,3,0
1021_MEDHIGH.jpg,543_LOW.jpg,2,1
280_MEDHIGH.jpg,241_LOW.jpg,1,0
920_MEDHIGH.jpg,738_LOW.jpg,0,1
637_MEDHIGH.jpg,166_LOW.jpg,3,0
79_MEDHIGH.jpg,989_LOW.jpg,2,1
33_MEDHIGH.jpg,1278_LOW.jpg,1,0
177_MEDHIGH.jpg,1351_LOW.jpg,0,1
1212_MEDHIGH.jpg,1177_LOW.jpg,3,0
719_MEDHIGH.jpg,802_LOW.jpg,2,1
902_MEDHIGH.jpg,1096_LOW.jpg,1,0
524_MEDHIGH.jpg,922_MEDLOW.jpg,3,0
563_MEDHIGH.jpg,593_MEDLOW.jpg,2,1
60_MEDHIGH.jpg,122_MEDLOW.jpg,1,0
1404_MEDHIGH.jpg,1145_MEDLOW.jpg,0,1
345_MEDHIGH.jpg,1048_MEDLOW.jpg,3,0
425_MEDHIGH.jpg,234_MEDLOW.jpg,2,1
1146_MEDHIGH.jpg,1368_MEDLOW.jpg,1,0
224_MEDHIGH.jpg,101_MEDLOW.jpg,0,1
151_MEDHIGH.jpg,1171_MEDLOW.jpg,3,0
456_MEDHIGH.jpg,996_MEDLOW.jpg,2,1
661_MEDHIGH.jpg,776_MEDLOW.jpg,1,0
779_MEDHIGH.jpg,1122_MEDLOW.jpg,0,1
477_MEDHIGH.jpg,596_MEDLOW.jpg,3,0
1161_MEDHIGH.jpg,1108_MEDLOW.jpg,2,1
706_MEDHIGH.jpg,550_MEDLOW.jpg,1,0
212_MEDHIGH.jpg,42_MEDLOW.jpg,0,1
1386_MEDHIGH.jpg,215_MEDLOW.jpg,3,0
846_MEDHIGH.jpg,1192_MEDLOW.jpg,2,1
1023_MEDHIGH.jpg,211_MEDLOW.jpg,1,0
420_MEDHIGH.jpg,856_MEDLOW.jpg,0,1
768_MEDHIGH.jpg,1314_MEDLOW.jpg,3,0
609_MEDHIGH.jpg,305_MEDLOW.jpg,2,1
822_MEDHIGH.jpg,171_MEDLOW.jpg,1,0
175_MEDHIGH.jpg,474_MEDLOW.jpg,0,1
1315_MEDHIGH.jpg,812_MEDLOW.jpg,3,0
114_MEDHIGH.jpg,838_MEDLOW.jpg,2,1
449_MEDHIGH.jpg,1135_MEDLOW.jpg,1,0
832_MEDHIGH.jpg,841_MEDLOW.jpg,0,1
439_MEDHIGH.jpg,715_MEDLOW.jpg,3,0
997_MEDHIGH.jpg,523_MEDLOW.jpg,2,1
660_MEDHIGH.jpg,1187_MEDLOW.jpg,1,0
361_MEDHIGH.jpg,1014_MEDLOW.jpg,0,1
835_MEDHIGH.jpg,625_MEDLOW.jpg,3,0
588_MEDHIGH.jpg,770_MEDLOW.jpg,2,1
998_MEDHIGH.jpg,794_MEDLOW.jpg,1,0
1075_MEDHIGH.jpg,815_MEDLOW.jpg,0,1
935_MEDHIGH.jpg,1221_MEDLOW.jpg,3,0
452_MEDHIGH.jpg,1090_MEDLOW.jpg,2,1
1286_MEDHIGH.jpg,851_MEDLOW.jpg,1,0
1219_MEDLOW.jpg,847_HIGH.jpg,3,0
713_MEDLOW.jpg,1330_HIGH.jpg,2,1
1007_MEDLOW.jpg,429_HIGH.jpg,1,0
