top,bottom,cue,prompt
1192_MEDHIGH.jpg,727_MEDLOW.jpg,2,1
1018_MEDHIGH.jpg,327_MEDLOW.jpg,1,0
1027_MEDHIGH.jpg,1153_MEDLOW.jpg,0,1
76_MEDHIGH.jpg,901_MEDLOW.jpg,3,0
1029_MEDHIGH.jpg,105_MEDLOW.jpg,2,1
647_MEDHIGH.jpg,531_MEDLOW.jpg,1,0
927_MEDHIGH.jpg,1118_MEDLOW.jpg,0,1
432_MEDHIGH.jpg,75_MEDLOW.jpg,3,0
1228_MEDHIGH.jpg,411_MEDLOW.jpg,2,1
252_MEDHIGH.jpg,1187_MEDLOW.jpg,1,0
88_MEDHIGH.jpg,684_MEDLOW.jpg,0,1
794_MEDHIGH.jpg,362_MEDLOW.jpg,3,0
6_MEDHIGH.jpg,874_MEDLOW.jpg,2,1
378_MEDHIGH.jpg,502_MEDLOW.jpg,1,0
1360_MEDHIGH.jpg,316_MEDLOW.jpg,0,1
993_MEDHIGH.jpg,783_MEDLOW.jpg,3,0
1385_MEDHIGH.jpg,360_MEDLOW.jpg,2,1
1263_MEDHIGH.jpg,832_MEDLOW.jpg,1,0
702_MEDLOW.jpg,225_HIGH.jpg,3,0
3_MEDLOW.jpg,1407_HIGH.jpg,2,1
581_MEDLOW.jpg,718_HIGH.jpg,1,0
849_MEDLOW.jpg,854_HIGH.jpg,0,1
600_MEDLOW.jpg,1098_HIGH.jpg,3,0
97_MEDLOW.jpg,934_HIGH.jpg,2,1
1238_MEDLOW.jpg,1373_HIGH.jpg,1,0
883_MEDLOW.jpg,925_HIGH.jpg,0,1
514_MEDLOW.jpg,1164_HIGH.jpg,3,0
751_MEDLOW.jpg,903_HIGH.jpg,2,1
1384_MEDLOW.jpg,317_HIGH.jpg,1,0
1235_MEDLOW.jpg,323_HIGH.jpg,0,1
899_MEDLOW.jpg,460_HIGH.jpg,3,0
1387_MEDLOW.jpg,729_HIGH.jpg,2,1
389_MEDLOW.jpg,556_HIGH.jpg,1,0
73_MEDLOW.jpg,1000_HIGH.jpg,0,1
1239_MEDLOW.jpg,820_HIGH.jpg,3,0
893_MEDLOW.jpg,1101_HIGH.jpg,2,1
1080_MEDLOW.jpg,235_HIGH.jpg,1,0
206_MEDLOW.jpg,929_HIGH.jpg,0,1
1308_MEDLOW.jpg,513_HIGH.jpg,3,0
1139_MEDLOW.jpg,144_HIGH.jpg,2,1
625_MEDLOW.jpg,1132_HIGH.jpg,1,0
139_MEDLOW.jpg,933_HIGH.jpg,0,1
103_MEDLOW.jpg,623_HIGH.jpg,3,0
1408_MEDLOW.jpg,84_HIGH.jpg,2,1
1401_MEDLOW.jpg,892_HIGH.jpg,1,0
744_MEDLOW.jpg,938_HIGH.jpg,0,1
256_MEDLOW.jpg,1193_HIGH.jpg,3,0
475_MEDLOW.jpg,77_HIGH.jpg,2,1
881_MEDLOW.jpg,759_HIGH.jpg,1,0
113_MEDLOW.jpg,753_HIGH.jpg,0,1
1107_MEDLOW.jpg,772_HIGH.jpg,3,0
451_MEDLOW.jpg,296_HIGH.jpg,2,1
178_MEDLOW.jpg,661_HIGH.jpg,1,0
1315_MEDLOW.jpg,126_HIGH.jpg,0,1
1086_MEDLOW.jpg,158_HIGH.jpg,3,0
67_MEDLOW.jpg,1026_HIGH.jpg,2,1
826_MEDLOW.jpg,70_HIGH.jpg,1,0
524_MEDLOW.jpg,275_LOW.jpg,3,0
535_MEDLOW.jpg,737_LOW.jpg,2,1
1156_MEDLOW.jpg,984_LOW.jpg,1,0
822_MEDLOW.jpg,799_LOW.jpg,0,1
1303_MEDLOW.jpg,782_LOW.jpg,3,0
147_MEDLOW.jpg,344_LOW.jpg,2,1
86_MEDLOW.jpg,900_LOW.jpg,1,0
880_MEDLOW.jpg,274_LOW.jpg,0,1
1004_MEDLOW.jpg,309_LOW.jpg,3,0
390_MEDLOW.jpg,481_LOW.jpg,2,1
409_MEDLOW.jpg,709_LOW.jpg,1,0
1087_MEDLOW.jpg,1052_LOW.jpg,0,1
584_MEDLOW.jpg,374_LOW.jpg,3,0
754_MEDLOW.jpg,680_LOW.jpg,2,1
53_MEDLOW.jpg,942_LOW.jpg,1,0
1259_MEDLOW.jpg,130_LOW.jpg,0,1
388_MEDLOW.jpg,813_LOW.jpg,3,0
1179_MEDLOW.jpg,1290_LOW.jpg,2,1
825_MEDLOW.jpg,1289_LOW.jpg,1,0
500_MEDLOW.jpg,318_LOW.jpg,0,1
1270_MEDLOW.jpg,249_LOW.jpg,3,0
1335_MEDLOW.jpg,931_LOW.jpg,2,1
681_MEDLOW.jpg,663_LOW.jpg,1,0
1038_MEDLOW.jpg,1302_LOW.jpg,0,1
183_MEDLOW.jpg,359_LOW.jpg,3,0
1343_MEDLOW.jpg,435_LOW.jpg,2,1
78_MEDLOW.jpg,786_LOW.jpg,1,0
896_MEDLOW.jpg,859_LOW.jpg,0,1
756_MEDLOW.jpg,720_LOW.jpg,3,0
707_MEDLOW.jpg,852_LOW.jpg,2,1
124_MEDLOW.jpg,112_LOW.jpg,1,0
400_MEDLOW.jpg,4_LOW.jpg,0,1
238_MEDLOW.jpg,964_LOW.jpg,3,0
583_MEDLOW.jpg,567_LOW.jpg,2,1
247_MEDLOW.jpg,1135_LOW.jpg,1,0
529_MEDLOW.jpg,10_LOW.jpg,0,1
140_MEDLOW.jpg,153_LOW.jpg,3,0
1381_MEDLOW.jpg,1341_LOW.jpg,2,1
739_MEDLOW.jpg,218_LOW.jpg,1,0
974_MEDLOW.jpg,1131_MEDHIGH.jpg,3,0
734_MEDLOW.jpg,1034_MEDHIGH.jpg,2,1
501_MEDLOW.jpg,72_MEDHIGH.jpg,1,0
1378_MEDLOW.jpg,748_MEDHIGH.jpg,0,1
18_MEDLOW.jpg,1014_MEDHIGH.jpg,3,0
961_MEDLOW.jpg,286_MEDHIGH.jpg,2,1
258_MEDLOW.jpg,1013_MEDHIGH.jpg,1,0
5_MEDLOW.jpg,910_MEDHIGH.jpg,0,1
617_MEDLOW.jpg,944_MEDHIGH.jpg,3,0
394_MEDLOW.jpg,943_MEDHIGH.jpg,2,1
471_MEDLOW.jpg,867_MEDHIGH.jpg,1,0
2_MEDLOW.jpg,731_MEDHIGH.jpg,0,1
123_MEDLOW.jpg,894_MEDHIGH.jpg,3,0
117_MEDLOW.jpg,417_MEDHIGH.jpg,2,1
438_MEDLOW.jpg,712_MEDHIGH.jpg,1,0
705_MEDLOW.jpg,1327_MEDHIGH.jpg,0,1
313_MEDLOW.jpg,1344_MEDHIGH.jpg,3,0
1382_MEDLOW.jpg,143_MEDHIGH.jpg,2,1
596_MEDLOW.jpg,685_MEDHIGH.jpg,1,0
1410_MEDLOW.jpg,26_MEDHIGH.jpg,0,1
372_MEDLOW.jpg,650_MEDHIGH.jpg,3,0
926_MEDLOW.jpg,675_MEDHIGH.jpg,2,1
32_MEDLOW.jpg,468_MEDHIGH.jpg,1,0
986_MEDLOW.jpg,363_MEDHIGH.jpg,0,1
879_MEDLOW.jpg,1194_MEDHIGH.jpg,3,0
403_MEDLOW.jpg,240_MEDHIGH.jpg,2,1
510_MEDLOW.jpg,939_MEDHIGH.jpg,1,0
845_MEDLOW.jpg,1323_MEDHIGH.jpg,0,1
179_MEDLOW.jpg,1376_MEDHIGH.jpg,3,0
1223_MEDLOW.jpg,1133_MEDHIGH.jpg,2,1
982_MEDLOW.jpg,1375_MEDHIGH.jpg,1,0
1024_MEDLOW.jpg,606_MEDHIGH.jpg,0,1
1400_MEDLOW.jpg,649_MEDHIGH.jpg,3,0
131_MEDLOW.jpg,1249_MEDHIGH.jpg,2,1
1062_MEDLOW.jpg,747_MEDHIGH.jpg,1,0
960_MEDLOW.jpg,554_MEDHIGH.jpg,0,1
163_MEDLOW.jpg,983_MEDHIGH.jpg,3,0
669_MEDLOW.jpg,424_MEDHIGH.jpg,2,1
1285_MEDLOW.jpg,1346_MEDHIGH.jpg,1,0
